I have Windows 8, Will this work on my computer?	Yes
Will this work for Mac OS X?	No it has to have a Mac that runs on power pc not Intel processors
I have Windows7, Will this work on my computer?	Hi T.Lee, I have not had any trouble running this on Windows 7. The OS will work fine.
Will this work on Windows XP?	Yes! :P
what about windows 8?	Works well had to changes few settings when I first downloaded it
I have a Macbook Pro - will it work on that?	Nope. I found out the hard way. Sorry!
Will this work on Windows 2007?	Yes it does. That is what we have on our computer
will it work on windows 8	My version (2.0.5) does.
does this work on a mac	No, but you can go into the app store on your mac and buy it, for perhaps less. :)
Is this program compatible with Mac??	Platforms Windows 7 / Vista / XP Home Edition
MathWork says that the Student Version R2013a comes with a mac version is that correct?	Yes, you can install MATLAB and Simulink Student Version on a Mac
Is this dvd-rom for compatible with mac?	Yes, MATLAB and Simulink Student Version R2013a DVD is compatible with mac.
Is this dvd-rom compatible with UBUNTU 12.04?	MATLAB and Simulink Student Version is compatible with Ubuntu 12.04 LTS and 12.10
What happen if I format my windows laptop after I install Matlab on it? Will I lose the license??	NO, You will not lose the license.
Does it work with Windows 8?	Yes
does it work with Windows 7 ?	Yes. That's what we are running it on.
Does this work with windows 7?	It works great with Windows 7 as well as Vista.
Is this product the same as the one that retails for over $399 on other websites?	It is. My grandchildren love it and are always ready to do their lessons.
What is the Audio companion?	It is a cd for practice, but my kids have never used it through the first two levels.
Will this version work with mac Mavericks?	Yes it worked on my mac
Can the CDs be played in the car while you drive??	Yes, but there is only one or two CDs. They correlate with the lessons but in a very broad sense.
Is it only for 1 computer? Can I install my laptop and Desktop?	You can
Can I use software with windows 7?	Yes, you can.
does the program have a time limit for usage on it	No, but every 3 months you have to re add the language, which is not a hard process
Will you buy the next level edition	My grandson likes the program and finds it easy to ue.
Will this product work with a new Mac as well?	yes, or at least according to the install manual it comes with it should work.
Does it have the online chat with a person who speaks Italian like the regular version does?	I don't believe so
Is a original rossetta stone	yes, it was bought via Amazon but was authentically Rosetta Stone.
Does the set include the actual DVDs or is it a subscription?	Unless it says just downloads yes it has dvds. The one I got from amazon had dvds
are the discs able to be used on my ipad	No
On how many computers can you download this product?	My instructions said that I could install Rosetta Stone onto 2 computers.
Does this come with the workbooks?	No, No workbooks. All work is done on the computer - audio, speaking, visual, typing.
How much hard disk space does this program take? I have a MacBook Air with limited room.	600MB free hard drive space (per level)
